Catalog Num,Course Level,Grade Group,Section,Subject,sumHeadcount,Semester,Instructor
1000,1000-1999,Other,1,CS - Computer Science,5,S2017,"DE ST GERMAIN, J. D."
1000,1000-1999,W,1,CS - Computer Science,6,S2017,"DE ST GERMAIN, J. D."
1000,1000-1999,E,1,CS - Computer Science,4,S2017,"DE ST GERMAIN, J. D."
1000,1000-1999,D,1,CS - Computer Science,4,S2017,"DE ST GERMAIN, J. D."
1000,1000-1999,C,1,CS - Computer Science,10,S2017,"DE ST GERMAIN, J. D."
1000,1000-1999,B,1,CS - Computer Science,22,S2017,"DE ST GERMAIN, J. D."
1000,1000-1999,A,1,CS - Computer Science,12,S2017,"DE ST GERMAIN, J. D."
1001,1000-1999,Other,1,CS - Computer Science,4,S2017,"DE ST GERMAIN, J. D."
1001,1000-1999,E,1,CS - Computer Science,3,S2017,"DE ST GERMAIN, J. D."
1001,1000-1999,D,1,CS - Computer Science,3,S2017,"DE ST GERMAIN, J. D."
1001,1000-1999,C,1,CS - Computer Science,9,S2017,"DE ST GERMAIN, J. D."
1001,1000-1999,B,1,CS - Computer Science,13,S2017,"DE ST GERMAIN, J. D."
1001,1000-1999,A,1,CS - Computer Science,9,S2017,"DE ST GERMAIN, J. D."
1030,1000-1999,W,1,CS - Computer Science,10,S2017,"JOHNSON, D. E."
1030,1000-1999,E,1,CS - Computer Science,12,S2017,"JOHNSON, D. E."
1030,1000-1999,D,1,CS - Computer Science,6,S2017,"JOHNSON, D. E."
1030,1000-1999,C,1,CS - Computer Science,11,S2017,"JOHNSON, D. E."
1030,1000-1999,B,1,CS - Computer Science,43,S2017,"JOHNSON, D. E."
1030,1000-1999,A,1,CS - Computer Science,51,S2017,"JOHNSON, D. E."
1040,1000-1999,W,90,CS - Computer Science,2,S2017,"ZACHARY, J. L."
1040,1000-1999,E,90,CS - Computer Science,1,S2017,"ZACHARY, J. L."
1040,1000-1999,D,90,CS - Computer Science,3,S2017,"ZACHARY, J. L."
1040,1000-1999,C,90,CS - Computer Science,1,S2017,"ZACHARY, J. L."
1040,1000-1999,B,90,CS - Computer Science,2,S2017,"ZACHARY, J. L."
1040,1000-1999,A,90,CS - Computer Science,32,S2017,"ZACHARY, J. L."
1410,1000-1999,Other,1,CS - Computer Science,1,S2017,"JENSEN, P. A."
1410,1000-1999,W,1,CS - Computer Science,9,S2017,"JENSEN, P. A."
1410,1000-1999,E,1,CS - Computer Science,7,S2017,"JENSEN, P. A."
1410,1000-1999,D,1,CS - Computer Science,12,S2017,"JENSEN, P. A."
1410,1000-1999,C,1,CS - Computer Science,15,S2017,"JENSEN, P. A."
1410,1000-1999,B,1,CS - Computer Science,32,S2017,"JENSEN, P. A."
1410,1000-1999,A,1,CS - Computer Science,90,S2017,"JENSEN, P. A."
2100,2000-2999,W,1,CS - Computer Science,10,S2017,"COHEN, E. AND PARKER, D."
2100,2000-2999,E,1,CS - Computer Science,27,S2017,"COHEN, E. AND PARKER, D."
2100,2000-2999,D,1,CS - Computer Science,17,S2017,"COHEN, E. AND PARKER, D."
2100,2000-2999,C,1,CS - Computer Science,38,S2017,"COHEN, E. AND PARKER, D."
2100,2000-2999,B,1,CS - Computer Science,40,S2017,"COHEN, E. AND PARKER, D."
2100,2000-2999,A,1,CS - Computer Science,40,S2017,"COHEN, E. AND PARKER, D."
2420,2000-2999,Other,1,CS - Computer Science,1,S2017,"DE ST GERMAIN, H. J."
2420,2000-2999,W,1,CS - Computer Science,10,S2017,"DE ST GERMAIN, H. J."
2420,2000-2999,E,1,CS - Computer Science,22,S2017,"DE ST GERMAIN, H. J."
2420,2000-2999,D,1,CS - Computer Science,7,S2017,"DE ST GERMAIN, H. J."
2420,2000-2999,C,1,CS - Computer Science,37,S2017,"DE ST GERMAIN, H. J."
2420,2000-2999,B,1,CS - Computer Science,59,S2017,"DE ST GERMAIN, H. J."
2420,2000-2999,A,1,CS - Computer Science,59,S2017,"DE ST GERMAIN, H. J."
3011,3000-3999,W,1,CS - Computer Science,1,S2017,"VAN DER MERWE, J. E."
3011,3000-3999,C,1,CS - Computer Science,1,S2017,"VAN DER MERWE, J. E."
3011,3000-3999,B,1,CS - Computer Science,2,S2017,"VAN DER MERWE, J. E."
3011,3000-3999,A,1,CS - Computer Science,34,S2017,"VAN DER MERWE, J. E."
3130,3000-3999,W,1,CS - Computer Science,1,S2017,"COTTER, N. E."
3130,3000-3999,E,1,CS - Computer Science,1,S2017,"COTTER, N. E."
3130,3000-3999,D,1,CS - Computer Science,3,S2017,"COTTER, N. E."
3130,3000-3999,C,1,CS - Computer Science,7,S2017,"COTTER, N. E."
3130,3000-3999,B,1,CS - Computer Science,19,S2017,"COTTER, N. E."
3130,3000-3999,A,1,CS - Computer Science,28,S2017,"COTTER, N. E."
3200,3000-3999,W,1,CS - Computer Science,5,S2017,"BERZINS, M."
3200,3000-3999,E,1,CS - Computer Science,1,S2017,"BERZINS, M."
3200,3000-3999,D,1,CS - Computer Science,1,S2017,"BERZINS, M."
3200,3000-3999,C,1,CS - Computer Science,4,S2017,"BERZINS, M."
3200,3000-3999,B,1,CS - Computer Science,17,S2017,"BERZINS, M."
3200,3000-3999,A,1,CS - Computer Science,17,S2017,"BERZINS, M."
