Catalog Num,Course Level,Grade Group,Section,Subject,sumHeadcount,Semester,Instructor
3505,3000-3999,E,1,CS - Computer Science,1,S2018,"JENSEN, P. A."
3505,3000-3999,D,1,CS - Computer Science,4,S2018,"JENSEN, P. A."
3505,3000-3999,C,1,CS - Computer Science,6,S2018,"JENSEN, P. A."
3505,3000-3999,B,1,CS - Computer Science,42,S2018,"JENSEN, P. A."
3505,3000-3999,A,1,CS - Computer Science,77,S2018,"JENSEN, P. A."
3700,3000-3999,W,1,CS - Computer Science,1,S2018,"KALLA, P."
3700,3000-3999,E,1,CS - Computer Science,2,S2018,"KALLA, P."
3700,3000-3999,C,1,CS - Computer Science,2,S2018,"KALLA, P."
3700,3000-3999,B,1,CS - Computer Science,10,S2018,"KALLA, P."
3700,3000-3999,A,1,CS - Computer Science,5,S2018,"KALLA, P."
3810,3000-3999,W,1,CS - Computer Science,4,S2018,"BALASUBRAMONIAN, R."
3810,3000-3999,E,1,CS - Computer Science,2,S2018,"BALASUBRAMONIAN, R."
3810,3000-3999,D,1,CS - Computer Science,3,S2018,"BALASUBRAMONIAN, R."
3810,3000-3999,C,1,CS - Computer Science,21,S2018,"BALASUBRAMONIAN, R."
3810,3000-3999,B,1,CS - Computer Science,63,S2018,"BALASUBRAMONIAN, R."
3810,3000-3999,A,1,CS - Computer Science,60,S2018,"BALASUBRAMONIAN, R."
3992,3000-3999,A,1,CS - Computer Science,20,S2018,"BRUNVAND, E. L."
4000,4000-4999,B,1,CS - Computer Science,12,S2018,"HENDERSON, T. C. AND KOPTA, D. M."
4000,4000-4999,A,1,CS - Computer Science,33,S2018,"HENDERSON, T. C. AND KOPTA, D. M."
4010,4000-4999,A,1,CS - Computer Science,ds,S2018,"DE ST GERMAIN, H. J."
4150,4000-4999,W,1,CS - Computer Science,8,S2018,"ZACHARY, J. L."
4150,4000-4999,E,1,CS - Computer Science,9,S2018,"ZACHARY, J. L."
4150,4000-4999,D,1,CS - Computer Science,6,S2018,"ZACHARY, J. L."
4150,4000-4999,C,1,CS - Computer Science,25,S2018,"ZACHARY, J. L."
4150,4000-4999,B,1,CS - Computer Science,69,S2018,"ZACHARY, J. L."
4150,4000-4999,A,1,CS - Computer Science,47,S2018,"ZACHARY, J. L."
4230,4000-4999,E,1,CS - Computer Science,1,S2018,"GOPALAKRISHNAN, G."
4230,4000-4999,B,1,CS - Computer Science,2,S2018,"GOPALAKRISHNAN, G."
4230,4000-4999,A,1,CS - Computer Science,7,S2018,"GOPALAKRISHNAN, G."
4400,4000-4999,W,1,CS - Computer Science,1,S2018,"KOPTA, D. M."
4400,4000-4999,E,1,CS - Computer Science,9,S2018,"KOPTA, D. M."
4400,4000-4999,D,1,CS - Computer Science,6,S2018,"KOPTA, D. M."
4400,4000-4999,C,1,CS - Computer Science,12,S2018,"KOPTA, D. M."
4400,4000-4999,B,1,CS - Computer Science,35,S2018,"KOPTA, D. M."
4400,4000-4999,A,1,CS - Computer Science,36,S2018,"KOPTA, D. M."
4440,4000-4999,E,1,CS - Computer Science,2,S2018,"KOPTA, D. M."
4440,4000-4999,D,1,CS - Computer Science,3,S2018,"KOPTA, D. M."
4440,4000-4999,C,1,CS - Computer Science,3,S2018,"KOPTA, D. M."
4440,4000-4999,B,1,CS - Computer Science,13,S2018,"KOPTA, D. M."
4440,4000-4999,A,1,CS - Computer Science,20,S2018,"KOPTA, D. M."
4480,4000-4999,Other,1,CS - Computer Science,1,S2018,"VAN DER MERWE, J. E."
4480,4000-4999,W,1,CS - Computer Science,6,S2018,"VAN DER MERWE, J. E."
4480,4000-4999,E,1,CS - Computer Science,9,S2018,"VAN DER MERWE, J. E."
4480,4000-4999,D,1,CS - Computer Science,4,S2018,"VAN DER MERWE, J. E."
4480,4000-4999,C,1,CS - Computer Science,22,S2018,"VAN DER MERWE, J. E."
4480,4000-4999,B,1,CS - Computer Science,45,S2018,"VAN DER MERWE, J. E."
4480,4000-4999,A,1,CS - Computer Science,25,S2018,"VAN DER MERWE, J. E."
4500,4000-4999,C,1,CS - Computer Science,9,S2018,"DE ST GERMAIN, H. J."
4500,4000-4999,B,1,CS - Computer Science,16,S2018,"DE ST GERMAIN, H. J."
4500,4000-4999,A,1,CS - Computer Science,34,S2018,"DE ST GERMAIN, H. J."
4530,4000-4999,W,2,CS - Computer Science,5,S2018,"STOKER, M. L."
4530,4000-4999,W,1,CS - Computer Science,6,S2018,"STOKER, M. L."
4530,4000-4999,E,2,CS - Computer Science,3,S2018,"STOKER, M. L."
4530,4000-4999,E,1,CS - Computer Science,3,S2018,"STOKER, M. L."
4530,4000-4999,D,2,CS - Computer Science,2,S2018,"STOKER, M. L."
