Catalog Num,Course Level,Grade Group,Section,Subject,sumHeadcount,Semester,Instructor
1040,1000-1999,Other,90,CS - Computer Science,2,F2014,"ZACHARY, J. L."
1040,1000-1999,W,90,CS - Computer Science,1,F2014,"ZACHARY, J. L."
1040,1000-1999,E,90,CS - Computer Science,8,F2014,"ZACHARY, J. L."
1040,1000-1999,D,90,CS - Computer Science,1,F2014,"ZACHARY, J. L."
1040,1000-1999,C,90,CS - Computer Science,2,F2014,"ZACHARY, J. L."
1040,1000-1999,B,90,CS - Computer Science,3,F2014,"ZACHARY, J. L."
1040,1000-1999,A,90,CS - Computer Science,14,F2014,"ZACHARY, J. L."
1400,1000-1999,W,1,CS - Computer Science,14,F2014,"JOHNSON, D. E."
1400,1000-1999,E,1,CS - Computer Science,10,F2014,"JOHNSON, D. E."
1400,1000-1999,D,1,CS - Computer Science,5,F2014,"JOHNSON, D. E."
1400,1000-1999,C,1,CS - Computer Science,21,F2014,"JOHNSON, D. E."
1400,1000-1999,B,1,CS - Computer Science,33,F2014,"JOHNSON, D. E."
1400,1000-1999,A,1,CS - Computer Science,62,F2014,"JOHNSON, D. E."
1410,1000-1999,W,40,CS - Computer Science,6,F2014,"JENSEN, P. A."
1410,1000-1999,W,30,CS - Computer Science,4,F2014,"JENSEN, P. A."
1410,1000-1999,W,1,CS - Computer Science,21,F2014,"ZACHARY, J. L."
1410,1000-1999,E,40,CS - Computer Science,5,F2014,"JENSEN, P. A."
1410,1000-1999,E,30,CS - Computer Science,7,F2014,"JENSEN, P. A."
1410,1000-1999,E,1,CS - Computer Science,26,F2014,"ZACHARY, J. L."
1410,1000-1999,D,40,CS - Computer Science,2,F2014,"JENSEN, P. A."
1410,1000-1999,D,30,CS - Computer Science,4,F2014,"JENSEN, P. A."
1410,1000-1999,D,1,CS - Computer Science,12,F2014,"ZACHARY, J. L."
1410,1000-1999,C,40,CS - Computer Science,11,F2014,"JENSEN, P. A."
1410,1000-1999,C,30,CS - Computer Science,7,F2014,"JENSEN, P. A."
1410,1000-1999,C,1,CS - Computer Science,23,F2014,"ZACHARY, J. L."
1410,1000-1999,B,40,CS - Computer Science,9,F2014,"JENSEN, P. A."
1410,1000-1999,B,30,CS - Computer Science,13,F2014,"JENSEN, P. A."
1410,1000-1999,B,1,CS - Computer Science,35,F2014,"ZACHARY, J. L."
1410,1000-1999,A,40,CS - Computer Science,22,F2014,"JENSEN, P. A."
1410,1000-1999,A,30,CS - Computer Science,31,F2014,"JENSEN, P. A."
1410,1000-1999,A,1,CS - Computer Science,61,F2014,"ZACHARY, J. L."
2100,2000-2999,Other,1,CS - Computer Science,1,F2014,"RAKAMARIC, Z."
2100,2000-2999,W,1,CS - Computer Science,4,F2014,"RAKAMARIC, Z."
2100,2000-2999,E,1,CS - Computer Science,8,F2014,"RAKAMARIC, Z."
2100,2000-2999,D,1,CS - Computer Science,9,F2014,"RAKAMARIC, Z."
2100,2000-2999,C,1,CS - Computer Science,25,F2014,"RAKAMARIC, Z."
2100,2000-2999,B,1,CS - Computer Science,54,F2014,"RAKAMARIC, Z."
2100,2000-2999,A,1,CS - Computer Science,45,F2014,"RAKAMARIC, Z."
2420,2000-2999,W,1,CS - Computer Science,10,F2014,"BARGTEIL, A. W."
2420,2000-2999,E,1,CS - Computer Science,5,F2014,"BARGTEIL, A. W."
2420,2000-2999,D,1,CS - Computer Science,6,F2014,"BARGTEIL, A. W."
2420,2000-2999,C,1,CS - Computer Science,8,F2014,"BARGTEIL, A. W."
2420,2000-2999,B,1,CS - Computer Science,26,F2014,"BARGTEIL, A. W."
2420,2000-2999,A,1,CS - Computer Science,27,F2014,"BARGTEIL, A. W."
2963,2000-2999,B,1,CS - Computer Science,ds,F2014,
3020,3000-3999,C,1,CS - Computer Science,1,F2014,"HENDERSON, T. C."
