Catalog Num,Course Level,Grade Group,Section,Subject,sumHeadcount,Semester,Instructor
1030,1000-1999,W,1,CS - Computer Science,5,F2016,"PARKER, D."
1030,1000-1999,E,1,CS - Computer Science,11,F2016,"PARKER, D."
1030,1000-1999,D,1,CS - Computer Science,10,F2016,"PARKER, D."
1030,1000-1999,C,1,CS - Computer Science,13,F2016,"PARKER, D."
1030,1000-1999,B,1,CS - Computer Science,39,F2016,"PARKER, D."
1030,1000-1999,A,1,CS - Computer Science,52,F2016,"PARKER, D."
1040,1000-1999,Other,90,CS - Computer Science,1,F2016,"ZACHARY, J. L."
1040,1000-1999,W,90,CS - Computer Science,3,F2016,"ZACHARY, J. L."
1040,1000-1999,E,90,CS - Computer Science,5,F2016,"ZACHARY, J. L."
1040,1000-1999,D,90,CS - Computer Science,2,F2016,"ZACHARY, J. L."
1040,1000-1999,C,90,CS - Computer Science,2,F2016,"ZACHARY, J. L."
1040,1000-1999,B,90,CS - Computer Science,4,F2016,"ZACHARY, J. L."
1040,1000-1999,A,90,CS - Computer Science,15,F2016,"ZACHARY, J. L."
1410,1000-1999,Other,1,CS - Computer Science,2,F2016,"JOHNSON, D. E."
1410,1000-1999,W,40,CS - Computer Science,6,F2016,"PARKER, D."
1410,1000-1999,W,30,CS - Computer Science,5,F2016,"PARKER, D."
1410,1000-1999,W,1,CS - Computer Science,18,F2016,"JOHNSON, D. E."
1410,1000-1999,E,40,CS - Computer Science,6,F2016,"PARKER, D."
1410,1000-1999,E,30,CS - Computer Science,9,F2016,"PARKER, D."
1410,1000-1999,E,1,CS - Computer Science,26,F2016,"JOHNSON, D. E."
1410,1000-1999,D,40,CS - Computer Science,6,F2016,"PARKER, D."
1410,1000-1999,D,30,CS - Computer Science,1,F2016,"PARKER, D."
1410,1000-1999,D,1,CS - Computer Science,7,F2016,"JOHNSON, D. E."
1410,1000-1999,C,40,CS - Computer Science,3,F2016,"PARKER, D."
1410,1000-1999,C,30,CS - Computer Science,4,F2016,"PARKER, D."
1410,1000-1999,C,1,CS - Computer Science,29,F2016,"JOHNSON, D. E."
1410,1000-1999,B,40,CS - Computer Science,14,F2016,"PARKER, D."
1410,1000-1999,B,30,CS - Computer Science,24,F2016,"PARKER, D."
1410,1000-1999,B,1,CS - Computer Science,64,F2016,"JOHNSON, D. E."
1410,1000-1999,A,40,CS - Computer Science,11,F2016,"PARKER, D."
1410,1000-1999,A,30,CS - Computer Science,12,F2016,"PARKER, D."
1410,1000-1999,A,1,CS - Computer Science,72,F2016,"JOHNSON, D. E."
2100,2000-2999,W,1,CS - Computer Science,6,F2016,"RAKAMARIC, Z."
2100,2000-2999,E,1,CS - Computer Science,9,F2016,"RAKAMARIC, Z."
2100,2000-2999,D,1,CS - Computer Science,8,F2016,"RAKAMARIC, Z."
2100,2000-2999,C,1,CS - Computer Science,27,F2016,"RAKAMARIC, Z."
2100,2000-2999,B,1,CS - Computer Science,51,F2016,"RAKAMARIC, Z."
2100,2000-2999,A,1,CS - Computer Science,59,F2016,"RAKAMARIC, Z."
2420,2000-2999,Other,1,CS - Computer Science,1,F2016,"MEYER, M. D."
2420,2000-2999,W,1,CS - Computer Science,4,F2016,"MEYER, M. D."
2420,2000-2999,E,1,CS - Computer Science,14,F2016,"MEYER, M. D."
2420,2000-2999,D,1,CS - Computer Science,10,F2016,"MEYER, M. D."
2420,2000-2999,C,1,CS - Computer Science,23,F2016,"MEYER, M. D."
2420,2000-2999,B,1,CS - Computer Science,45,F2016,"MEYER, M. D."
2420,2000-2999,A,1,CS - Computer Science,34,F2016,"MEYER, M. D."
2963,2000-2999,B,1,CS - Computer Science,ds,F2016,
3020,3000-3999,E,1,CS - Computer Science,1,F2016,"HOLLERBACH, J. M."
3020,3000-3999,A,1,CS - Computer Science,17,F2016,"HOLLERBACH, J. M."
3100,3000-3999,W,1,CS - Computer Science,4,F2016,"ZACHARY, J. L."
3100,3000-3999,E,1,CS - Computer Science,5,F2016,"ZACHARY, J. L."
3100,3000-3999,D,1,CS - Computer Science,2,F2016,"ZACHARY, J. L."
3100,3000-3999,C,1,CS - Computer Science,19,F2016,"ZACHARY, J. L."
3100,3000-3999,B,1,CS - Computer Science,50,F2016,"ZACHARY, J. L."
3100,3000-3999,A,1,CS - Computer Science,37,F2016,"ZACHARY, J. L."
3130,3000-3999,E,1,CS - Computer Science,2,F2016,"FLETCHER, P. T."
3130,3000-3999,D,1,CS - Computer Science,4,F2016,"FLETCHER, P. T."
3130,3000-3999,C,1,CS - Computer Science,9,F2016,"FLETCHER, P. T."
3130,3000-3999,B,1,CS - Computer Science,28,F2016,"FLETCHER, P. T."
3130,3000-3999,A,1,CS - Computer Science,59,F2016,"FLETCHER, P. T."
3500,3000-3999,Other,1,CS - Computer Science,2,F2016,"KOPTA, D. M."
3500,3000-3999,W,1,CS - Computer Science,4,F2016,"KOPTA, D. M."
3500,3000-3999,E,1,CS - Computer Science,6,F2016,"KOPTA, D. M."
